Phrase,Sentiment
weak bad horrible sad,Negative
bad angry,Negative
usual adequate sufficient typical,Neutral
successful joyful good strong,Positive
weak failure,Negative
horrible frustrated,Negative
strong inspired,Positive
weak sad failure terrible,Negative
good creative brilliant joyful,Positive
normal common,Neutral
weak disappointing horrible,Negative
sad terrible failure poor,Negative
happy strong inspired,Positive
creative inspired strong excellent,Positive
usual typical normal common,Neutral
failure horrible,Negative
frustrated terrible,Negative
common normal average,Neutral
horrible terrible angry,Negative
failure angry terrible,Negative
weak sad failure disappointing,Negative
adequate average,Neutral
excellent wonderful creative successful,Positive
usual adequate,Neutral
terrible poor,Negative
creative happy,Positive
typical adequate normal,Neutral
frustrated failure sad,Negative
bad terrible,Negative
frustrated failure angry,Negative
frustrated disappointing sad,Negative
normal adequate,Neutral
brilliant strong happy,Positive
sufficient common normal regular,Neutral
bad weak disappointing,Negative
horrible terrible,Negative
sufficient standard common,Neutral
common sufficient normal adequate,Neutral
regular basic adequate,Neutral
strong brilliant,Positive
standard sufficient common,Neutral
inspired successful good excellent,Positive
happy excellent brilliant creative,Positive
strong joyful,Positive
brilliant strong inspired excellent,Positive
common typical average,Neutral
happy successful creative brilliant,Positive
typical standard usual,Neutral
adequate normal,Neutral
wonderful excellent creative,Positive
bad failure,Negative
angry disappointing,Negative
terrible horrible,Negative
angry terrible,Negative
poor failure frustrated bad,Negative
happy excellent joyful strong,Positive
failure angry,Negative
sufficient common usual adequate,Neutral
horrible failure poor,Negative
sad frustrated weak,Negative
wonderful joyful happy,Positive
terrible bad weak,Negative
disappointing bad,Negative
strong good,Positive
standard regular,Neutral
inspired happy creative,Positive
regular normal,Neutral
average common,Neutral
strong successful joyful,Positive
strong excellent joyful,Positive
excellent successful strong creative,Positive
strong successful good happy,Positive
excellent creative brilliant happy,Positive
sad angry terrible weak,Negative
normal average,Neutral
horrible failure,Negative
successful strong,Positive
normal standard,Neutral
bad angry disappointing sad,Negative
creative excellent good,Positive
inspired brilliant successful happy,Positive
creative brilliant strong excellent,Positive
creative excellent happy good,Positive
happy excellent inspired,Positive
wonderful happy creative joyful,Positive
typical usual sufficient standard,Neutral
successful inspired happy,Positive
joyful inspired,Positive
brilliant creative excellent,Positive
normal basic regular typical,Neutral
horrible bad,Negative
sufficient regular common,Neutral
poor frustrated horrible weak,Negative
sufficient normal adequate regular,Neutral
typical basic,Neutral
regular basic common adequate,Neutral
good wonderful strong happy,Positive
successful strong happy,Positive
usual typical common,Neutral
horrible frustrated sad,Negative
creative joyful,Positive
bad sad,Negative
sad frustrated,Negative
common usual basic sufficient,Neutral
wonderful successful,Positive
terrible sad,Negative
strong creative happy,Positive
terrible disappointing,Negative
horrible failure,Negative
joyful happy strong inspired,Positive
brilliant inspired,Positive
angry bad,Negative
basic typical common usual,Neutral
happy strong successful,Positive
sufficient common regular normal,Neutral
successful strong creative,Positive
disappointing poor frustrated sad,Negative
adequate standard,Neutral
happy excellent wonderful,Positive
brilliant successful,Positive
usual average basic,Neutral
sufficient normal regular common,Neutral
frustrated terrible,Negative
strong wonderful inspired,Positive
frustrated poor terrible,Negative
average typical,Neutral
adequate usual basic sufficient,Neutral
sad bad horrible angry,Negative
common usual basic,Neutral
adequate common,Neutral
failure disappointing angry,Negative
poor failure,Negative
weak terrible failure,Negative
excellent inspired wonderful good,Positive
usual sufficient standard,Neutral
bad frustrated weak angry,Negative
usual regular,Neutral
typical regular,Neutral
good brilliant,Positive
normal basic,Neutral
creative good excellent joyful,Positive
disappointing frustrated,Negative
standard sufficient average,Neutral
horrible frustrated,Negative
disappointing frustrated sad,Negative
typical common,Neutral
creative happy brilliant wonderful,Positive
strong happy good excellent,Positive
bad angry frustrated,Negative
terrible poor,Negative
creative successful excellent,Positive
brilliant wonderful inspired successful,Positive
inspired joyful successful wonderful,Positive
brilliant creative strong,Positive
normal sufficient basic,Neutral
adequate sufficient usual,Neutral
average normal basic,Neutral
normal typical usual,Neutral
regular adequate,Neutral
normal adequate,Neutral
happy successful,Positive
weak poor horrible,Negative
strong wonderful creative,Positive
standard typical,Neutral
joyful creative,Positive
standard typical normal,Neutral
strong creative happy,Positive
common standard sufficient regular,Neutral
sufficient typical,Neutral
creative strong wonderful inspired,Positive
frustrated bad,Negative
brilliant happy joyful creative,Positive
wonderful good happy,Positive
poor bad,Negative
inspired joyful,Positive
good strong excellent,Positive
usual typical standard,Neutral
inspired excellent,Positive
failure frustrated angry sad,Negative
wonderful creative strong,Positive
brilliant excellent,Positive
normal basic sufficient adequate,Neutral
normal basic standard adequate,Neutral
wonderful good strong,Positive
adequate normal standard sufficient,Neutral
common adequate,Neutral
good creative,Positive
normal regular,Neutral
horrible failure,Negative
sad poor disappointing,Negative
standard basic,Neutral
average usual,Neutral
sufficient normal,Neutral
horrible poor failure,Negative
typical sufficient adequate normal,Neutral
joyful brilliant wonderful,Positive
inspired brilliant joyful,Positive
wonderful brilliant,Positive
usual standard adequate,Neutral
strong wonderful joyful,Positive
weak bad,Negative
inspired successful brilliant,Positive
creative successful joyful excellent,Positive
standard basic usual normal,Neutral
excellent strong wonderful,Positive
poor horrible terrible,Negative
wonderful good successful joyful,Positive
creative inspired,Positive
standard usual,Neutral
successful brilliant joyful inspired,Positive
typical adequate sufficient basic,Neutral
angry terrible,Negative
frustrated sad weak,Negative
inspired strong brilliant,Positive
adequate sufficient normal,Neutral
happy joyful excellent,Positive
wonderful successful strong,Positive
standard average regular,Neutral
common adequate normal,Neutral
good excellent joyful creative,Positive
good wonderful creative,Positive
common sufficient regular,Neutral
excellent successful strong,Positive
brilliant creative good inspired,Positive
failure poor,Negative
typical normal basic standard,Neutral
successful excellent creative strong,Positive
excellent brilliant happy,Positive
excellent strong,Positive
terrible weak poor failure,Negative
bad terrible weak,Negative
average standard typical normal,Neutral
bad frustrated,Negative
brilliant inspired happy strong,Positive
good brilliant,Positive
inspired wonderful,Positive
excellent creative strong,Positive
wonderful happy successful brilliant,Positive
adequate sufficient standard average,Neutral
brilliant creative,Positive
joyful brilliant inspired strong,Positive
disappointing sad frustrated weak,Negative
failure horrible frustrated bad,Negative
common usual,Neutral
horrible sad,Negative
sad bad,Negative
weak frustrated,Negative
normal usual,Neutral
sad weak,Negative
bad frustrated disappointing,Negative
wonderful successful,Positive
happy inspired excellent wonderful,Positive
disappointing terrible angry,Negative
angry poor,Negative
happy successful wonderful good,Positive
adequate typical basic,Neutral
typical normal standard usual,Neutral
sufficient average adequate,Neutral
frustrated failure disappointing,Negative
angry frustrated sad,Negative
excellent wonderful successful,Positive
adequate normal,Neutral
average standard basic typical,Neutral
inspired brilliant excellent successful,Positive
regular basic,Neutral
usual common basic,Neutral
failure bad sad horrible,Negative
normal usual,Neutral
angry bad poor,Negative
frustrated poor,Negative
inspired good,Positive
common sufficient basic,Neutral
basic regular normal common,Neutral
good strong,Positive
happy excellent good,Positive
brilliant excellent happy wonderful,Positive
terrible disappointing poor,Negative
sufficient standard adequate,Neutral
bad angry,Negative
regular common sufficient,Neutral
creative successful strong,Positive
terrible angry sad,Negative
good inspired successful wonderful,Positive
good inspired brilliant excellent,Positive
common basic sufficient,Neutral
regular adequate average common,Neutral
sad terrible horrible weak,Negative
normal sufficient common standard,Neutral
happy wonderful inspired,Positive
regular adequate sufficient common,Neutral
good inspired,Positive
average usual adequate basic,Neutral
joyful creative inspired,Positive
terrible sad frustrated,Negative
angry weak bad,Negative
wonderful brilliant joyful,Positive
standard typical,Neutral
horrible sad disappointing,Negative
successful creative good strong,Positive
sad disappointing weak,Negative
normal common average,Neutral
joyful good,Positive
average regular,Neutral
sufficient usual,Neutral
disappointing bad horrible angry,Negative
creative successful excellent,Positive
successful inspired happy strong,Positive
horrible failure sad,Negative
terrible frustrated,Negative
happy successful excellent wonderful,Positive
happy successful,Positive
creative brilliant,Positive
creative successful,Positive
horrible sad angry,Negative
failure sad,Negative
failure frustrated weak horrible,Negative
average basic standard regular,Neutral
terrible disappointing,Negative
excellent brilliant,Positive
happy wonderful brilliant,Positive
poor horrible weak,Negative
terrible sad,Negative
typical common usual,Neutral
creative brilliant good wonderful,Positive
failure sad,Negative
poor terrible angry,Negative
disappointing bad sad,Negative
joyful strong successful,Positive
good wonderful creative,Positive
typical sufficient standard normal,Neutral
common regular usual,Neutral
wonderful happy,Positive
regular standard usual,Neutral
angry sad frustrated,Negative
basic normal adequate,Neutral
joyful inspired strong creative,Positive
joyful successful wonderful,Positive
brilliant happy,Positive
strong joyful excellent creative,Positive
basic common sufficient normal,Neutral
horrible poor,Negative
typical usual,Neutral
sufficient common adequate usual,Neutral
standard regular average normal,Neutral
terrible bad frustrated failure,Negative
normal sufficient standard,Neutral
common usual normal sufficient,Neutral
joyful excellent successful wonderful,Positive
joyful inspired good brilliant,Positive
weak disappointing,Negative
failure weak bad,Negative
standard typical,Neutral
regular standard sufficient,Neutral
terrible failure,Negative
usual adequate standard,Neutral
angry terrible,Negative
basic typical,Neutral
standard typical average,Neutral
good successful creative,Positive
joyful inspired,Positive
strong excellent,Positive
standard normal average regular,Neutral
happy wonderful good creative,Positive
happy joyful creative,Positive
poor failure angry frustrated,Negative
sad weak poor,Negative
weak poor,Negative
average adequate basic,Neutral
angry failure poor,Negative
weak disappointing bad failure,Negative
failure horrible,Negative
average typical,Neutral
strong inspired excellent,Positive
wonderful brilliant,Positive
good inspired excellent,Positive
horrible frustrated bad,Negative
typical adequate normal basic,Neutral
basic standard regular,Neutral
adequate common,Neutral
good wonderful strong brilliant,Positive
horrible disappointing,Negative
bad disappointing poor,Negative
weak failure,Negative
good happy excellent,Positive
inspired happy creative brilliant,Positive
good strong brilliant,Positive
disappointing angry poor failure,Negative
frustrated terrible,Negative
normal typical,Neutral
excellent brilliant good joyful,Positive
bad weak failure angry,Negative
adequate usual,Neutral
normal regular basic,Neutral
standard normal,Neutral
poor frustrated angry,Negative
disappointing weak terrible,Negative
joyful successful good strong,Positive
successful wonderful good,Positive
joyful successful,Positive
basic normal,Neutral
sad disappointing bad weak,Negative
normal sufficient usual,Neutral
wonderful joyful,Positive
frustrated poor sad weak,Negative
good joyful inspired creative,Positive
inspired creative,Positive
typical normal common,Neutral
common average usual,Neutral
strong excellent wonderful joyful,Positive
happy good creative excellent,Positive
good excellent successful,Positive
standard normal average,Neutral
frustrated disappointing weak,Negative
inspired good successful brilliant,Positive
excellent happy inspired,Positive
failure disappointing,Negative
poor failure,Negative
excellent strong wonderful joyful,Positive
poor sad,Negative
standard usual typical adequate,Neutral
regular usual normal common,Neutral
average sufficient,Neutral
good strong inspired brilliant,Positive
strong joyful good,Positive
horrible poor bad,Negative
failure disappointing poor,Negative
wonderful brilliant inspired good,Positive
wonderful good brilliant strong,Positive
adequate typical normal average,Neutral
weak bad poor terrible,Negative
basic usual,Neutral
horrible bad failure disappointing,Negative
frustrated sad weak failure,Negative
typical basic regular,Neutral
sufficient common regular basic,Neutral
disappointing horrible,Negative
successful wonderful good happy,Positive
angry frustrated disappointing sad,Negative
frustrated angry,Negative
normal typical standard,Neutral
frustrated sad angry,Negative
adequate normal,Neutral
usual typical standard sufficient,Neutral
typical basic average standard,Neutral
usual normal,Neutral
successful joyful,Positive
usual standard,Neutral
wonderful inspired brilliant,Positive
normal average basic common,Neutral
sufficient standard average common,Neutral
normal basic,Neutral
inspired excellent brilliant happy,Positive
sufficient adequate standard,Neutral
adequate normal,Neutral
strong successful good,Positive
good joyful,Positive
weak frustrated bad,Negative
average typical,Neutral
basic regular,Neutral
adequate common regular standard,Neutral
basic adequate regular,Neutral
standard typical regular adequate,Neutral
brilliant creative strong,Positive
strong creative successful inspired,Positive
usual regular typical,Neutral
weak poor frustrated,Negative
good strong creative happy,Positive
sufficient average,Neutral
sad weak frustrated failure,Negative
sufficient basic average,Neutral
creative successful,Positive
excellent happy brilliant wonderful,Positive
typical sufficient average normal,Neutral
angry disappointing poor,Negative
failure frustrated horrible angry,Negative
regular sufficient adequate basic,Neutral
wonderful brilliant strong creative,Positive
standard regular usual sufficient,Neutral
usual typical sufficient adequate,Neutral
good inspired joyful,Positive
typical standard common,Neutral
regular sufficient basic,Neutral
failure angry terrible frustrated,Negative
brilliant strong,Positive
good inspired happy wonderful,Positive
wonderful excellent,Positive
creative happy,Positive
standard sufficient,Neutral
joyful happy good wonderful,Positive
happy joyful inspired excellent,Positive
excellent good,Positive
typical normal average,Neutral
sufficient common,Neutral
normal regular typical basic,Neutral
creative strong brilliant excellent,Positive
terrible horrible,Negative
failure horrible angry,Negative
strong brilliant successful inspired,Positive
bad sad,Negative
strong brilliant,Positive
common typical regular sufficient,Neutral
excellent wonderful successful,Positive
inspired creative,Positive
excellent strong wonderful,Positive
usual common typical,Neutral
terrible poor horrible,Negative
frustrated bad,Negative
angry disappointing,Negative
frustrated terrible,Negative
creative happy wonderful excellent,Positive
usual adequate,Neutral
excellent good strong,Positive
regular sufficient average,Neutral
angry poor terrible,Negative
bad horrible,Negative
standard sufficient,Neutral
inspired happy successful good,Positive
failure weak frustrated,Negative
regular normal standard sufficient,Neutral
strong good,Positive
sad angry weak,Negative
good happy inspired,Positive
common typical regular,Neutral
average basic,Neutral
joyful excellent strong inspired,Positive
standard average,Neutral
successful brilliant inspired,Positive
terrible angry failure disappointing,Negative
failure sad disappointing terrible,Negative
typical sufficient basic common,Neutral
happy successful creative,Positive
brilliant wonderful happy creative,Positive
typical regular average normal,Neutral
basic typical sufficient,Neutral
joyful inspired brilliant,Positive
sad failure terrible,Negative
common normal sufficient average,Neutral
adequate basic sufficient typical,Neutral
brilliant happy strong,Positive
disappointing terrible sad,Negative
normal basic usual,Neutral
bad disappointing,Negative
good brilliant wonderful joyful,Positive
successful creative,Positive
common basic,Neutral
weak horrible disappointing failure,Negative
sufficient regular,Neutral
common sufficient typical usual,Neutral
angry disappointing bad frustrated,Negative
average typical,Neutral
sad angry,Negative
angry bad horrible,Negative
strong good inspired,Positive
basic normal sufficient,Neutral
brilliant good,Positive
strong happy inspired creative,Positive
wonderful good,Positive
basic average,Neutral
typical average regular,Neutral
typical standard sufficient usual,Neutral
good successful,Positive
common typical,Neutral
common usual,Neutral
successful inspired,Positive
common normal typical,Neutral
joyful excellent happy,Positive
standard common average adequate,Neutral
inspired creative strong happy,Positive
adequate regular,Neutral
sad terrible angry,Negative
weak bad failure,Negative
usual standard average basic,Neutral
happy brilliant wonderful,Positive
usual normal sufficient basic,Neutral
regular usual standard,Neutral
normal sufficient,Neutral
basic sufficient regular usual,Neutral
frustrated angry sad,Negative
inspired strong creative,Positive
adequate usual average,Neutral
successful excellent happy,Positive
weak terrible poor failure,Negative
poor angry weak,Negative
sufficient regular basic adequate,Neutral
joyful strong good excellent,Positive
excellent joyful strong,Positive
typical basic,Neutral
joyful creative successful,Positive
poor terrible,Negative
successful inspired brilliant happy,Positive
angry frustrated poor,Negative
wonderful creative excellent,Positive
inspired brilliant creative,Positive
poor failure angry,Negative
strong excellent inspired creative,Positive
creative brilliant successful,Positive
common regular standard,Neutral
sad frustrated disappointing,Negative
creative joyful excellent,Positive
horrible disappointing,Negative
sad angry,Negative
standard basic usual average,Neutral
creative happy,Positive
inspired brilliant successful creative,Positive
basic regular typical standard,Neutral
average sufficient typical regular,Neutral
successful joyful wonderful,Positive
horrible frustrated,Negative
terrible weak disappointing,Negative
horrible sad failure,Negative
good excellent wonderful strong,Positive
sufficient common typical average,Neutral
disappointing weak sad horrible,Negative
bad angry frustrated failure,Negative
regular adequate,Neutral
bad poor weak,Negative
horrible angry bad terrible,Negative
regular average common usual,Neutral
bad sad frustrated,Negative
brilliant wonderful happy,Positive
failure bad terrible horrible,Negative
normal sufficient usual standard,Neutral
successful happy,Positive
good happy strong wonderful,Positive
brilliant strong inspired,Positive
weak bad failure poor,Negative
horrible bad disappointing,Negative
creative brilliant successful excellent,Positive
inspired strong joyful wonderful,Positive
disappointing failure,Negative
sufficient regular,Neutral
disappointing horrible,Negative
joyful good inspired creative,Positive
common typical sufficient standard,Neutral
normal standard typical common,Neutral
excellent happy inspired strong,Positive
good strong successful,Positive
terrible angry failure,Negative
common usual typical,Neutral
sad angry horrible disappointing,Negative
poor frustrated angry horrible,Negative
terrible frustrated sad,Negative
joyful brilliant,Positive
horrible sad bad disappointing,Negative
joyful happy,Positive
excellent wonderful,Positive
weak disappointing sad failure,Negative
inspired strong good,Positive
terrible horrible poor failure,Negative
inspired strong,Positive
average standard,Neutral
inspired successful strong brilliant,Positive
weak sad,Negative
creative good,Positive
angry failure bad terrible,Negative
inspired joyful excellent good,Positive
typical sufficient adequate,Neutral
brilliant excellent strong,Positive
successful inspired excellent good,Positive
strong successful wonderful,Positive
wonderful excellent,Positive
usual normal,Neutral
weak angry,Negative
sufficient common normal adequate,Neutral
weak disappointing,Negative
adequate sufficient regular,Neutral
standard normal average common,Neutral
common typical adequate normal,Neutral
sufficient average,Neutral
standard sufficient normal basic,Neutral
strong joyful happy,Positive
strong successful creative,Positive
poor weak,Negative
disappointing poor frustrated sad,Negative
poor frustrated,Negative
usual adequate,Neutral
disappointing failure,Negative
regular basic,Neutral
successful brilliant good,Positive
horrible failure,Negative
weak horrible,Negative
common adequate standard,Neutral
typical usual,Neutral
common basic,Neutral
joyful creative,Positive
basic normal standard regular,Neutral
strong happy,Positive
inspired happy,Positive
disappointing poor,Negative
creative excellent,Positive
weak poor sad terrible,Negative
good wonderful creative excellent,Positive
strong happy inspired wonderful,Positive
weak failure horrible bad,Negative
typical regular adequate standard,Neutral
sufficient average,Neutral
basic usual adequate typical,Neutral
angry sad bad failure,Negative
horrible frustrated poor bad,Negative
average basic,Neutral
bad angry failure,Negative
angry disappointing failure horrible,Negative
usual basic,Neutral
regular standard,Neutral
weak failure frustrated bad,Negative
common sufficient basic average,Neutral
happy successful inspired,Positive
adequate regular usual typical,Neutral
strong excellent,Positive
average typical regular,Neutral
disappointing weak poor terrible,Negative
standard sufficient regular usual,Neutral
disappointing terrible frustrated sad,Negative
creative happy successful,Positive
creative excellent,Positive
sad horrible,Negative
disappointing horrible,Negative
successful excellent inspired,Positive
horrible weak failure poor,Negative
regular common adequate,Neutral
excellent joyful good brilliant,Positive
regular standard,Neutral
weak angry,Negative
excellent joyful brilliant strong,Positive
joyful inspired wonderful,Positive
horrible bad,Negative
terrible bad disappointing,Negative
adequate normal usual,Neutral
weak frustrated bad,Negative
inspired wonderful good happy,Positive
average regular usual adequate,Neutral
bad poor,Negative
angry bad sad terrible,Negative
strong inspired creative,Positive
basic common,Neutral
usual average regular sufficient,Neutral
happy strong wonderful,Positive
average basic adequate,Neutral
adequate typical usual,Neutral
angry weak,Negative
standard common sufficient,Neutral
successful inspired good,Positive
sufficient average,Neutral
bad terrible,Negative
standard common,Neutral
wonderful happy creative,Positive
happy inspired excellent,Positive
successful wonderful,Positive
happy successful brilliant wonderful,Positive
adequate normal standard basic,Neutral
usual normal basic standard,Neutral
successful creative,Positive
usual regular average standard,Neutral
successful joyful excellent,Positive
normal usual average standard,Neutral
terrible sad frustrated,Negative
angry frustrated,Negative
sad frustrated bad horrible,Negative
standard normal adequate,Neutral
basic adequate usual typical,Neutral
common sufficient usual,Neutral
common normal usual,Neutral
joyful wonderful,Positive
average normal regular,Neutral
happy inspired wonderful,Positive
successful inspired,Positive
inspired brilliant happy,Positive
horrible disappointing,Negative
inspired joyful,Positive
horrible failure,Negative
joyful wonderful happy,Positive
disappointing bad angry failure,Negative
common usual adequate sufficient,Neutral
bad horrible disappointing failure,Negative
strong creative,Positive
disappointing angry,Negative
poor sad failure,Negative
terrible horrible,Negative
bad terrible,Negative
poor disappointing,Negative
sad terrible frustrated,Negative
inspired wonderful brilliant joyful,Positive
terrible poor weak,Negative
typical standard,Neutral
good joyful,Positive
joyful wonderful happy,Positive
poor terrible bad,Negative
poor angry disappointing,Negative
successful excellent,Positive
usual common adequate normal,Neutral
disappointing weak bad,Negative
adequate common usual,Neutral
poor frustrated,Negative
common average normal,Neutral
typical common normal regular,Neutral
standard adequate average,Neutral
average adequate common standard,Neutral
angry failure,Negative
happy joyful creative,Positive
failure weak,Negative
typical sufficient,Neutral
disappointing failure,Negative
usual common sufficient,Neutral
adequate average normal,Neutral
usual regular adequate normal,Neutral
frustrated poor horrible,Negative
joyful wonderful brilliant,Positive
excellent good inspired,Positive
creative wonderful happy successful,Positive
weak horrible,Negative
common normal,Neutral
usual sufficient standard,Neutral
happy brilliant good successful,Positive
disappointing poor sad,Negative
inspired strong,Positive
standard regular,Neutral
good wonderful,Positive
inspired excellent,Positive
excellent joyful wonderful strong,Positive
good inspired,Positive
usual average typical adequate,Neutral
sufficient basic usual average,Neutral
creative strong joyful,Positive
horrible weak poor,Negative
horrible bad,Negative
terrible bad failure frustrated,Negative
wonderful inspired creative,Positive
angry frustrated,Negative
terrible failure,Negative
basic common typical,Neutral
inspired joyful wonderful brilliant,Positive
joyful wonderful,Positive
standard basic usual common,Neutral
brilliant successful excellent,Positive
angry terrible,Negative
successful strong,Positive
normal basic sufficient average,Neutral
basic common,Neutral
good excellent brilliant inspired,Positive
successful inspired excellent good,Positive
usual regular sufficient adequate,Neutral
brilliant good joyful,Positive
usual common adequate normal,Neutral
common adequate sufficient average,Neutral
common standard typical normal,Neutral
inspired brilliant good,Positive
brilliant inspired joyful excellent,Positive
bad sad failure terrible,Negative
failure poor,Negative
frustrated angry disappointing failure,Negative
sad horrible poor terrible,Negative
happy good,Positive
successful creative happy excellent,Positive
common usual typical,Neutral
average basic,Neutral
disappointing failure,Negative
normal typical common basic,Neutral
creative happy successful joyful,Positive
happy brilliant excellent,Positive
weak disappointing bad,Negative
creative happy excellent brilliant,Positive
disappointing failure,Negative
common standard sufficient adequate,Neutral
bad disappointing,Negative
poor bad sad failure,Negative
sad horrible weak terrible,Negative
weak disappointing,Negative
angry sad bad failure,Negative
angry failure bad frustrated,Negative
sad bad,Negative
terrible weak bad,Negative
strong excellent,Positive
excellent brilliant happy,Positive
standard normal usual average,Neutral
happy joyful strong,Positive
regular average standard common,Neutral
strong successful happy,Positive
inspired strong,Positive
usual average sufficient,Neutral
excellent brilliant happy successful,Positive
failure bad weak,Negative
excellent good brilliant strong,Positive
good strong inspired,Positive
weak sad frustrated bad,Negative
happy inspired,Positive
usual regular basic typical,Neutral
regular typical,Neutral
failure terrible,Negative
failure angry weak sad,Negative
creative joyful,Positive
creative inspired,Positive
common typical standard,Neutral
disappointing frustrated angry terrible,Negative
sad horrible failure terrible,Negative
angry failure horrible,Negative
average basic typical,Neutral
strong joyful happy creative,Positive
brilliant excellent good,Positive
horrible angry terrible failure,Negative
inspired wonderful brilliant,Positive
sufficient typical standard common,Neutral
sad failure bad,Negative
good strong,Positive
joyful brilliant strong inspired,Positive
normal usual sufficient,Neutral
standard normal common basic,Neutral
wonderful inspired joyful,Positive
average adequate,Neutral
common regular adequate typical,Neutral
inspired happy,Positive
standard average adequate normal,Neutral
inspired good,Positive
common basic adequate regular,Neutral
angry sad horrible weak,Negative
angry frustrated sad disappointing,Negative
frustrated disappointing angry bad,Negative
good happy joyful,Positive
standard normal usual,Neutral
good wonderful happy excellent,Positive
strong inspired successful excellent,Positive
happy creative strong,Positive
weak disappointing,Negative
brilliant excellent creative strong,Positive
wonderful inspired joyful creative,Positive
good joyful,Positive
wonderful creative,Positive
disappointing failure,Negative
joyful good happy,Positive
good strong,Positive
average standard normal usual,Neutral
horrible poor,Negative
brilliant happy,Positive
creative happy,Positive
creative happy wonderful,Positive
brilliant happy wonderful,Positive
typical average,Neutral
happy inspired,Positive
frustrated failure,Negative
inspired good strong,Positive
usual typical sufficient common,Neutral
poor disappointing weak,Negative
good successful happy,Positive
good joyful happy,Positive
excellent wonderful happy,Positive
successful good,Positive
terrible weak,Negative
frustrated angry bad failure,Negative
sufficient adequate typical,Neutral
angry disappointing,Negative
standard adequate regular,Neutral
typical standard adequate basic,Neutral
sufficient standard,Neutral
excellent good,Positive
disappointing terrible,Negative
good happy,Positive
regular average common adequate,Neutral
angry bad disappointing,Negative
standard average,Neutral
joyful inspired,Positive
standard normal common typical,Neutral
adequate average basic sufficient,Neutral
wonderful strong,Positive
disappointing frustrated sad,Negative
successful wonderful happy creative,Positive
usual standard sufficient normal,Neutral
weak bad,Negative
sufficient normal average,Neutral
frustrated disappointing bad angry,Negative
common adequate usual regular,Neutral
horrible weak,Negative
usual average regular,Neutral
successful creative brilliant,Positive
terrible disappointing sad angry,Negative
sufficient regular,Neutral
adequate normal standard usual,Neutral
successful wonderful happy creative,Positive
regular normal,Neutral
typical regular average,Neutral
inspired wonderful brilliant excellent,Positive
average adequate basic common,Neutral
normal sufficient common,Neutral
standard sufficient regular usual,Neutral
frustrated angry poor,Negative
standard average basic adequate,Neutral
inspired strong,Positive
average sufficient,Neutral
horrible sad bad,Negative
standard sufficient,Neutral
usual standard,Neutral
frustrated weak bad sad,Negative
excellent brilliant wonderful happy,Positive
inspired strong brilliant,Positive
average typical,Neutral
usual common standard,Neutral
weak disappointing horrible,Negative
basic adequate common,Neutral
brilliant inspired successful,Positive
terrible weak failure horrible,Negative
creative strong successful,Positive
typical usual,Neutral
terrible angry horrible,Negative
standard typical regular adequate,Neutral
strong good happy,Positive
brilliant successful strong creative,Positive
poor terrible,Negative
basic regular normal adequate,Neutral
standard typical basic normal,Neutral
happy brilliant,Positive
normal standard,Neutral
adequate common average standard,Neutral
excellent creative inspired,Positive
brilliant excellent joyful,Positive
standard typical common,Neutral
average common sufficient,Neutral
standard normal sufficient,Neutral
poor disappointing horrible terrible,Negative
regular typical common,Neutral
standard usual,Neutral
inspired brilliant,Positive
happy creative good,Positive
joyful good,Positive
excellent wonderful,Positive
inspired strong brilliant,Positive
average typical adequate usual,Neutral
basic standard sufficient,Neutral
strong wonderful brilliant,Positive
strong excellent,Positive
wonderful brilliant excellent,Positive
failure horrible angry sad,Negative
good joyful happy brilliant,Positive
successful excellent brilliant,Positive
inspired good brilliant excellent,Positive
angry horrible bad weak,Negative
normal regular sufficient,Neutral
wonderful happy brilliant,Positive
inspired successful strong brilliant,Positive
terrible poor frustrated,Negative
basic usual typical standard,Neutral
angry terrible poor frustrated,Negative
adequate typical usual regular,Neutral
standard average,Neutral
regular basic usual sufficient,Neutral
wonderful successful creative inspired,Positive
angry horrible sad,Negative
poor disappointing terrible,Negative
horrible frustrated disappointing,Negative
weak angry sad,Negative
creative strong excellent brilliant,Positive
angry frustrated,Negative
normal common average,Neutral
regular common typical basic,Neutral
weak bad,Negative
basic common,Neutral
excellent successful,Positive
strong inspired,Positive
typical usual sufficient average,Neutral
wonderful inspired,Positive
wonderful inspired excellent joyful,Positive
sufficient usual,Neutral
standard usual regular,Neutral
common sufficient typical,Neutral
typical usual common,Neutral
frustrated bad,Negative
regular average basic typical,Neutral
basic common usual,Neutral
regular standard common typical,Neutral
excellent strong happy,Positive
disappointing horrible frustrated weak,Negative
sufficient normal,Neutral
terrible frustrated poor,Negative
standard normal basic,Neutral
creative strong successful,Positive
horrible sad angry,Negative
good inspired wonderful,Positive
good successful strong creative,Positive
average sufficient regular usual,Neutral
disappointing frustrated,Negative
joyful inspired strong,Positive
weak angry sad,Negative
bad weak horrible terrible,Negative
inspired happy successful,Positive
strong good,Positive
disappointing angry weak terrible,Negative
regular common,Neutral
terrible poor bad weak,Negative
normal sufficient usual,Neutral
disappointing horrible angry terrible,Negative
common normal,Neutral
usual typical normal standard,Neutral
successful excellent,Positive
typical regular,Neutral
bad poor frustrated,Negative
terrible frustrated,Negative
basic normal standard,Neutral
inspired brilliant creative strong,Positive
bad horrible failure,Negative
usual regular,Neutral
successful creative,Positive
bad angry weak,Negative
good wonderful brilliant,Positive
sad terrible,Negative
frustrated failure,Negative
adequate sufficient normal,Neutral
happy strong wonderful inspired,Positive
horrible frustrated,Negative
